,제목,내용,언론사,작성시간,링크
10,"MS, 'GPT 빌더' 중단…출시 3개월만",[디지털투데이 AI리포터] 마이크로소프트(MS)가 코파일럿 프로(Copilot Pro) 사용자를 위한 'GPT 빌더'(GPT Builder)를 중단한다고 12일(이하 현지...,디지털투데이,2024. 6. 13.,https://www.digitaltoday.co.kr/news/articleView.html?idxno=521060
11,"트럼프도 깜짝…""삼각형 안 빨간공 그려줘"" 챗GPT-中딥시크 '충격 결과'",중국 스타트업 딥시크가 공개한 저비용 인공지능(AI) 챗봇 충격으로 27일(현지시간) AI 대장주 엔비디아가 17% 급락하는 등 뉴욕증시에서 대형 기술...,머니투데이,2025. 1. 28.,https://news.mt.co.kr/mtview.php?no=2025012810375925182
12,오픈소스 VS 유료,"딥시크와 챗GPT 중 내게 꼭 맞는 AI는? | 세상은 지금 인공지능(AI) 기술로 인해 거대한 변혁을 맞이하고 있다. AI가 점차 범용화 됨에 따라, 대규모 언어 모델부터...",브런치스토리,2025. 1. 31.,https://brunch.co.kr/@@2qxo/15
13,나도 챗gpt의 새 기능 GPTs로 돈을 벌 수 있을까?,[한국강사신문 이용호 칼럼니스트] 작년 말부터 사용하고 있는 챗gpt는 이제는 당연한 습관이 되어 매일 쳐다보게 되고 사소한 것이라도 작업을 시켜...,한국강사신문,2023. 11. 24.,https://www.lecturernews.com/news/articleView.html?idxno=140938
14,"서울시·자치구, 'GPT 활용' 확대…생성형 AI로 업무방식 싹 바꾼다",(서울=뉴스1) 한지명 기자 = 서울시와 자치구들이 챗GPT 등 생성형 인공지능(AI)을 활용한 행정 실험에 본격적으로 나서고 있다.,뉴스1,6일 전,https://www.news1.kr/local/moi/5729573
15,챗GPT 답변의 질 높이는 맞춤 설정 활용하기,"'인공지능'이라는 도구와 소통하기 위해서는 프롬프트(Prompt)라는 또 다른 도구가 필요합니다. 프롬프팅, 즉 명령을 내리는 방법을 잘 알고 있다면...",브런치스토리,2024. 11. 11.,https://brunch.co.kr/@sparta/61
16,16화 Ollama + Llama 3 사용법,ollama + llama3 를 통해서 나만의 노래가사를 만드는 챗봇 | 기업이 생성형 AI를 도입하는 데 있어 가장 우려하는 것은 바로 비용과 보안 문제입니다.,브런치스토리,2024. 5. 27.,https://brunch.co.kr/@@gDYF/28
17,GPTs로 HR 챗봇 만들기,"인사혁신처, 고용노동부 지침서를 활용하여 | 들어가며 2023년 11월 7일, OpenAI는 개발자 컨퍼런스에서 Chat GPT의 새로운 기능들을 발표했습니다.",브런치스토리,2023. 11. 7.,https://brunch.co.kr/@@f2H9/84
18,04화 더욱 강력해진 오픈 AI의 챗GPT,샘 알트만의 해고와 MS 영입 그리고 다시 복귀라는 반전 뒤 (재차) 반전드라마를 썼던 오픈 AI는 지난 '오픈 AI 데브데이'에서 GPT4 터보(GPT-4...,브런치스토리,2023. 12. 6.,https://brunch.co.kr/@@Lkk/667
19,"챗GPT와 LLAMA의 차이점, 뭐가 다를까?","챗gpt와 LLAMA의 차이점, 뭐가 다를까? 2023년 2월 마크 저커버그 메타 CEO는 자신의 SNS 계정을 통해 라마(LLaMA)라는 이름의 인공지능 모델을 발표...",브런치스토리,2024. 4. 4.,https://brunch.co.kr/@uxuxlove/278
20,20화 Chat GPT를 통해 SEO를 3초 만에 하는 법,"Chat gpt SEO 플러그인 소개 및 고급 활용법 | 오늘은 Chat GPT를 통해 페이지의 내용 SEO를 검수하고, 바로 적용할 수 있는 양식으로 출력하는 방법에 대해 소개하려...",브런치스토리,2023. 10. 2.,https://brunch.co.kr/@@cI9s/23
21,"ChatGPT를 넘어, 생성형 AI Generative AI 의 미래 – 1편 | 인사이트리포트 | 삼성SDS","생성형 AI는 기계가 콘텐츠, 예술, 음악 등을 만들고 생성할 수 있도록 하는 인공지능의 하위집합으로 여러 산업을 변화시킬 수 있는 잠재력을 지닌...",Samsung SDS,2023. 8. 18.,https://www.samsungsds.com/kr/insights/future_of_generative_ai_1.html
22,"집으로 찾아온 챗GPT, 이런 것까지 된다고?","지난 6월, 네덜란드의 스마트홈 플랫폼 홈 어시스턴트(Home Assistant, 이하 HA)에서 챗GPT 플러그인을 공개했습니다. 여기서 스마트홈 플랫폼이란,...",요즘IT,2024. 11. 12.,https://yozm.wishket.com/magazine/detail/2842/
23,"MS, '기업용 챗GPT' 애저 클라우드에 통합 출시",마이크로소프트(MS)가 기업용 '챗GPT'를 출시했다. 클라우드 서비스에 탑재해 판매한다.MS는 공식 블로그를 통해 챗GPT를 기업용 클라우드 서비스인...,AI타임스,2023. 3. 10.,https://www.aitimes.com/news/articleView.html?idxno=149884
24,"오픈AI, 'GPT-3.5 터보' 미세조정 추가...""기업용 맞춤형 조정 가능""",오픈AI가 'GPT-3.5'의 경량 버전인 'GPT-3.5 터보' 버전에 미세조정 기능을 도입했다. 이제 GPT-3.5 터보를 사용하는 기업은 오픈AI API를 통해 용도...,AI타임스,2023. 8. 23.,https://www.aitimes.com/news/articleView.html?idxno=153069
25,'기업전용 챗GPT' 필요한데 데이터 학습·보안 난제…대안은?,"구글·MS 초거대 AI, 파인튜닝 어렵고 데이터 유출클라우드 서비스 한계 보완한 B2B 서비스 확대초거대 AI 상용화로 '○○ 전용 챗GPT'를 꿈꾸는 기업이...",머니투데이,2023. 7. 20.,https://news.mt.co.kr/mtview.php?no=2023071816571882905
26,06화 OpenAI는 정말 오픈되어 있을까?,"폐쇄진영 vs 오픈소스 진영 | OpenAI, 메타, 구글과 같은 빅테크 기업들은 지난 시간까지 살펴본 것처럼 트랜스포머에서 파생된 BERT나 GPT 같은 언어...",브런치스토리,2024. 3. 16.,https://brunch.co.kr/@harryban0917/285
27,“챗GPT 이후에도 코딩 수요는 늘어날 것”...남병관 팀스파르타 CTO,코딩 업무에서 인공지능(AI)이 사람을 대체하기는 근본적으로 어렵습니다. 책임소재가 가장 큰 가장 큰 요인입니다. 코드를 짜는 역량도 중요하지만...,AI타임스,2023. 6. 13.,https://www.aitimes.com/news/articleView.html?idxno=151658
28,챗GPT 똑똑하게 만드는 '사용자 정의' 어떻게?,[디지털투데이 AI리포터] 최근 공개된 챗GPT의 베타 기능인 '커스텀 인스트럭션'(custom instructions)이 사용자 편의를 향상할 수 있을지 관심이...,디지털투데이,2023. 7. 25.,https://www.digitaltoday.co.kr/news/articleView.html?idxno=482686
29,"오픈AI의 첫 개발자 컨퍼런스, 어땠나",오픈AI의 첫 개발자 컨퍼런스가 개최됐다. 샘 알트먼 최고경영자(CEO)의 기조연설이 40분간 진행하며 새로운 모델과 개발자 관련 새 기능을 소개했다.,지디넷코리아,2023. 11. 7.,https://zdnet.co.kr/view/?no=20231107130040
30,“韓 대통령은 문재인”이라던 챗GPT… 최신 정보 업데이트로 바뀌나 - 조선비즈,"MS, 챗GPT에 자사 검색엔진 '빙' 탑재 최신 정보 이젠 검색엔진 기반으로 제공 무료 이용자까지 확대될 전망 구글 대항하기 위해선 오픈AI-MS 협력...",Chosunbiz,2023. 5. 25.,https://biz.chosun.com/it-science/ict/2023/05/25/WIDHYHSEXBGXFHRAGUU6PLHCUQ/
31,"""메타검사는 챗GPT 인재인지, 진짜 인재인지 알아본다""",최근 채용 시장에서 챗GPT가 자주 언급되면서 구직자와 기업 모두 인공지능(AI)에 대한 관심도가 높아졌다. AI 기술을 활용해 구직자는 자기소개서와...,지디넷코리아,2023. 4. 7.,https://zdnet.co.kr/view/?no=20230406104651
32,"클로드3, 챗GPT보다 이거 진짜 잘한다 찐사례 모음",눈이 뒤집어지는 AI의 세계 | Claude3(클로드3)가 3월 4일 출시되었습니다. 클로드를 만든 엔트로픽 본인 피셜 현존하는 최고의 모델이라고 하는데.,브런치스토리,2024. 4. 1.,https://brunch.co.kr/@wine-ny/159
33,컨설팅 회사 CEO가 말하는 챗GPT 활용법…업무 이렇게 해보세요,"[디지털투데이 AI리포터] 오픈AI의 대화형 인공지능(AI) 서비스 챗GPT를 업무에 활용하는 사례가 늘고 있는 가운데, 한 컨설팅 회사 최고경영자(CEO)...",디지털투데이,2024. 8. 21.,https://www.digitaltoday.co.kr/news/articleView.html?idxno=530274
34,"chat gpt4, 전화영어로 활용하자!","AI 기술을 통해 영어 표현 배우고 활용하기 | 요즘 chat gpt4의 등장이 굉장한 이슈입니다. 특히 영어 공부에도 많이 활용되는데, 기존엔 채팅만 가능...",브런치스토리,2024. 1. 20.,https://brunch.co.kr/@@oZf/1
35,클라우드와 결합된 챗GPT 제공하는 '마이크로소프트 애저 오픈AI 서비스',마이크로소프트가 애저 오픈AI 서비스(Azure OpenAI Service)에 챗GPT(ChatGPT) 프리뷰를 추가했다.애저 오픈AI 서비스는 오픈AI의 최신 AI 시스템을...,지티티코리아,2023. 3. 10.,https://www.gttkorea.com/news/articleView.html?idxno=4393
36,"메가넥스트, 업무자동화 돕는 ‘챗 GPT’ 최신 플립러닝 과정 런칭","고용노동부 인증 교육기업 메가넥스트(대표 박준열 / 박수영)가 챗 GPT 관련 최신 활용법, 전망 등을 담은 플립러닝 과정 '챗 GPT : 질문하는 인간,...",이투뉴스,2023. 5. 26.,http://www.e2news.com/news/articleView.html?idxno=254254
37,죽은 약혼자를 챗봇으로 살려낸 남자...AI윤리 논쟁 불러일으키나,자연어처리(NLP) 기술을 접목해 더욱 인간에 가깝게 대화하는 챗봇이 연이어 등장하고 있다. 발전속도가 빠를수록 이에 대한 찬반논란도 거세다.,AI타임스,2021. 7. 27.,https://www.aitimes.com/news/articleView.html?idxno=139836
38,"로지텍, 커스터마이징 가능한 무선 키보드·마우스 발매",로지텍이 사용자들의 감성으로 자유자재 커스터마이징 가능한 무선 블루투스 키보드 'POP Icon Keys'와 무소음 마우스 'POP Mouse'를 18일 국내 공식...,네이트뷰,2024. 11. 18.,https://view.nate.com/tech/view/270500/amp/
39,‘기업전용 챗GPT’ 필요한데 데이터 학습·보안 난제…대안은?,초거대 AI 상용화로 '○○ 전용 챗GPT'를 꿈꾸는 기업이 늘고 있다. 우리만의 데이터를 학습해 맞춤형 답변을 내놓으면서도 기업 기밀은 유출되지 않는...,네이트뷰,2023. 7. 20.,https://view.nate.com/tech/view/70469/
